,owner_address,contract_address,token_id,token_type,balance,collection_name,collection_slug,is_spam,floor_price,price_currency,description,last_ingested_at,total_supply,image_url,twitter_sentiment,twitter_tweet_volume,twitter_positive_tweets,twitter_negative_tweets,twitter_neutral_tweets
20,,0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7,7836,erc721,1,Loot (for Adventurers),lootproject,False,0.0666,ETH,"Loot is randomized adventurer gear generated and stored on chain. Stats, images, and other functionality are intentionally omitted for others to interpret. Feel free to use Loot in any way you want.",2025-07-17T14:52:58.412776,7779,https://raw2.seadn.io/ethereum/0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7/dd8226bb113ddd1286bbcccb834b20/82dd8226bb113ddd1286bbcccb834b20.svg,0.0,0,0,0,0
21,,0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,6912,erc721,1,CrypToadz by GREMPLIN,cryptoadz-by-gremplin,False,0.5025,ETH,"CrypToadz are a collection 6969 small amphibious creatures trying to escape the tyrannical rule of the Evil King Gremplin. Created by Gremplin, with a small bit of help from his friends.

This project is in the public domain. Feel free to use the toadz in any way you want.",2025-07-17T14:52:59.409219,7025,https://i2.seadn.io/ethereum/0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6/645b936922cf5b264dd1a2b3700e98ac.png,0.0,0,0,0,0
22,,0x769272677fab02575e84945f03eca517acc544cc,9581,erc721,1,Memeland Captainz,memelandcaptainz,False,0.282969,ETH,"9,999 PIRATE CAPTAINZ SEARCHING FOR THE LEGENDARY MEMELAND.

9,999 Captainz, with their pirate crewz, explore the Broken Seas in search of the legendary treasure known as “Memeland”. Join them in their quests for glory, fortune, love, and of course… memes.",2025-07-17T14:53:00.016365,9999,https://i2.seadn.io/ethereum/0x769272677fab02575e84945f03eca517acc544cc/c96cff1d2bc9feec95d60cf1a289f7/4ec96cff1d2bc9feec95d60cf1a289f7.png,0.0,0,0,0,0
23,,0xe785e82358879f061bc3dcac6f0444462d4b5330,9997,erc721,1,World of Women,world-of-women-nft,False,0.339897989898989,ETH,"World of Women is a collection of 10,000 NFTs that gives you full access to our network of artists, creators, entrepreneurs, and executives who are championing diversity and equal opportunity on the blockchain.

Created and illustrated by Yam Karkai (@ykarkai), World of Women has made prominent appearances at Christie's, The New Yorker and Billboard.

The Time is WoW.",2025-07-17T14:53:01.086919,10000,https://i2.seadn.io/ethereum/0xe785e82358879f061bc3dcac6f0444462d4b5330/c1f0c60664a75062f7cc437ddb656722.png,0.0,0,0,0,0
24,,0x76be3b62873462d2142405439777e971754e8e77,11120,erc1155,1,Parallel Alpha,parallelalpha,False,0.00045,ETH,Parallel is a Sci-Fi Franchise and Trading Card Game (TCG) empowering collectors to truly own their cards and other game items. The cards can be used to build a deck and play in an online PC game which is currently in Beta.,2025-07-17T14:53:02.146661,,https://i2.seadn.io/ethereum/0x76be3b62873462d2142405439777e971754e8e77/847e6bb8c2143e6d20f812520cb39a/f6847e6bb8c2143e6d20f812520cb39a.png,0.0,0,0,0,0
25,,0x3bf2922f4520a8ba0c2efc3d2a1539678dad5e9d,7753,erc721,1,0N1 Force,0n1-force,False,0.1221449,ETH,"The 0N1 Force are 7,777 generative side-profile characters with over 100 hand-drawn features fighting for their existence. Strength, spirit, and style are what you’ll need to survive in The Ethereal Enclave. 

In addition to the high-resolution artwork, each 0N1 NFT grants access to benefits found on the 0N1force website and Discord--the first of which is participation in a collaborative RPG that takes players into the 0N1verse. 

ON1 FORCE may now claim their FRAMES! 

CLAIM: [NANOHUB](https://nanohub.0n1force.com)  
COLLECTION: [0N1 FRAMES](https://opensea.io/collection/0n1-frame)  
WEBSITE: [0N1 FORCE](https://0N1Force.com)  

**IMPORTANT:** 0N1 FRAMES are owned by their 0N1 FORCE NFTs. By transfer or selling your original 0N1 Force NFT you also give ownership of the 0N1 FRAMES to the wallet owner.",2025-07-17T14:53:02.670499,7777,https://i2.seadn.io/ethereum/0x3bf2922f4520a8ba0c2efc3d2a1539678dad5e9d/169117861ed72787199c52b6dc6067b9.png,0.0,0,0,0,0
26,,0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,9999,erc721,1,Chromie Squiggle by Snowfro,chromie-squiggle-by-snowfro,False,4.2,ETH,,2025-07-17T14:53:03.451805,11012,https://i2.seadn.io/ethereum/0x059edd72cd353df5106d2b9cc5ab83a52287ac3a/8a62f20a2d71bcc2df293257f71d11/458a62f20a2d71bcc2df293257f71d11.png,0.0,0,0,0,0
27,,0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb,6104,erc721,1,VeeFriends,veefriends,False,1.511,ETH,A Gary Vaynerchuk NFT project around meaningful intellectual property and an extraordinary community.,2025-07-17T14:53:04.715383,10255,https://i2.seadn.io/ethereum/0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb/985f9b741d6268bfdf74e921326a69/5d985f9b741d6268bfdf74e921326a69.png,0.0,0,0,0,0
28,,0x22c36bfdcef207f9c0cc941936eff94d4246d14a,1,erc1155,1,Bored Ape Chemistry Club,bored-ape-chemistry-club,False,2.25,ETH,"Bored Ape Chemistry Club consists of 10,000 Mutant Serums, to be airdropped to all Bored Apes. Handle with care. Instructions to follow at 6pm ET 8/28/21.",2025-07-17T14:53:05.218164,,https://i2.seadn.io/ethereum/0x22c36bfdcef207f9c0cc941936eff94d4246d14a/dfa81fa4d520d3fd1b281b17eda70e/55dfa81fa4d520d3fd1b281b17eda70e.png,0.0,0,0,0,0
29,,0xb6a37b5d14d502c3ab0ae6f3a0e058bc9517786e,3460,erc721,1,Azuki Elementals,azukielementals,False,0.17999,ETH,"Azuki Elementals are a collection of 20,000 characters within the four domains of the Garden.

Take the red bean. azuki.com/elementals/reveal",2025-07-17T14:53:05.807082,17655,https://i2.seadn.io/ethereum/0xb6a37b5d14d502c3ab0ae6f3a0e058bc9517786e/3aa52c72822932d1db1934f1e43a77/453aa52c72822932d1db1934f1e43a77.png,0.0,0,0,0,0
